director,rating,openingweekendgross,movie_title,domestic_total_gross,release_date,runtime,budget,,
James Cameron,PG-13,77025481,Avatar,749766139,12/18/09 0:00,160,,,
James Cameron,PG-13,28638131,Titanic,600788188,12/19/97 0:00,194,200000000,,
Joss Whedon,PG-13,207438708,Marvel's The Avengers,623357910,5/4/12 0:00,142,220000000,,
Christopher Nolan,PG-13,158411483,The Dark Knight,533345358,7/18/08 0:00,150,185000000,,
George Lucas,PG,64820970,Star Wars: Episode I - The Phantom Menace,431088295,5/19/99 0:00,133,115000000,,
George Lucas,PG,6806951,Star Wars,307263857,5/25/77 0:00,121,11000000,,
Christopher Nolan,PG-13,160887295,The Dark Knight Rises,448139099,7/20/12 0:00,165,250000000,,
Andrew AdamsonKelly AsburyConrad Vernon,PG,108037878,Shrek 2,441226247,5/19/04 0:00,93,150000000,,
Steven Spielberg,PG,11835389,E.T.: The Extra-Terrestrial,359197037,6/11/82 0:00,117,10500000,,
Francis Lawrence,PG-13,158074286,The Hunger Games: Catching Fire,424668047,11/22/13 0:00,146,130000000,,
Gore Verbinski,PG-13,135634554,Pirates of the Caribbean: Dead Man's Chest,423315812,7/7/06 0:00,151,225000000,,
Roger AllersRob Minkoff,G,40888194,The Lion King,312855561,6/15/94 0:00,89,45000000,,
Lee Unkrich,G,110307189,Toy Story 3,415004880,6/18/10 0:00,103,200000000,,
Shane Black,PG-13,174144585,Iron Man 3,409013994,5/3/13 0:00,129,200000000,,
Gary Ross,PG-13,152535747,The Hunger Games,408010692,3/23/12 0:00,142,78000000,,
Sam Raimi,PG-13,114844116,Spider-Man,403706375,5/3/02 0:00,121,139000000,,
Steven Spielberg,PG-13,47026828,Jurassic Park,357067947,6/11/93 0:00,127,63000000,,
Michael Bay,PG-13,108966307,Transformers: Revenge of the Fallen,402111870,6/24/09 0:00,144,200000000,,
Chris BuckJennifer Lee,PG,67391326,Frozen,400738009,11/22/13 0:00,108,150000000,,
David Yates,PG-13,169189427,Harry Potter and the Deathly Hallows Part 2,381011219,7/15/11 0:00,130,,,
Andrew StantonLee Unkrich,G,70251710,Finding Nemo,339714978,5/30/03 0:00,104,94000000,,
George Lucas,PG-13,108435841,Star Wars: Episode III - Revenge of the Sith,380270577,5/19/05 0:00,146,113000000,,
Peter Jackson,PG-13,72629713,The Lord of the Rings: The Return of the King,377027325,12/17/03 0:00,200,94000000,,
Sam Raimi,PG-13,88156227,Spider-Man 2,373585825,6/30/04 0:00,127,200000000,,
Mel Gibson,R,83848082,The Passion of the Christ,370274604,2/25/04 0:00,126,30000000,,
Pierre CoffinChris Renaud,PG,83517315,Despicable Me 2,368061265,7/3/13 0:00,98,76000000,,
Michael Bay,PG-13,97852865,Transformers: Dark of the Moon,352390543,6/29/11 0:00,154,195000000,,
Peter Jackson,PG-13,62007528,The Lord of the Rings: The Two Towers,339789881,12/18/02 0:00,179,94000000,,
Sam Raimi,PG-13,151116516,Spider-Man 3,336530303,5/4/07 0:00,140,258000000,,
Tim Burton,PG,116101023,Alice in Wonderland,334191110,3/5/10 0:00,109,200000000,,
Robert Zemeckis,PG-13,24450602,Forrest Gump,329694499,7/6/94 0:00,141,55000000,,
Chris Miller,PG,121629270,Shrek the Third,322719944,5/18/07 0:00,92,160000000,,
Michael Bay,PG-13,70502384,Transformers,319246193,7/3/07 0:00,143,150000000,,
Jon Favreau,PG-13,98618668,Iron Man,318412101,5/2/08 0:00,126,140000000,,
Chris Columbus,PG,90294621,Harry Potter and the Sorcerer's Stone,317575550,11/16/01 0:00,153,125000000,,
Steven Spielberg,PG-13,100137835,Indiana Jones and the Kingdom of the Crystal Skull,317101119,5/22/08 0:00,120,185000000,,
Peter Jackson,PG-13,47211490,The Lord of the Rings: The Fellowship of the Ring,313364114,12/19/01 0:00,178,93000000,,
Jon Favreau,PG-13,128122480,Iron Man 2,312433331,5/7/10 0:00,125,200000000,,
George Lucas,PG,80027814,Star Wars: Episode II - Attack of the Clones,302191252,5/16/02 0:00,132,115000000,,
Gore Verbinski,PG-13,114732820,Pirates of the Caribbean: At World's End,309420425,5/25/07 0:00,168,300000000,,
,PG,23019618,Return of the Jedi,252583617,5/25/83 0:00,134,32500000,,
Roland Emmerich,PG-13,50228264,Independence Day,306169268,7/3/96 0:00,153,75000000,,
Gore Verbinski,PG-13,46630690,Pirates of the Caribbean: The Curse of the Black Pearl,305413918,7/9/03 0:00,135,140000000,,
Sam Mendes,PG-13,88364714,Skyfall,304360277,11/9/12 0:00,143,200000000,,
Peter Jackson,PG-13,84617303,The Hobbit: An Unexpected Journey,303003568,12/14/12 0:00,166,,,
David Yates,PG,77835727,Harry Potter and the Half-Blood Prince,301959197,7/15/09 0:00,153,250000000,,
David Slade,PG-13,64832191,The Twilight Saga: Eclipse,300531751,6/30/10 0:00,124,68000000,,
Chris Weitz,PG-13,142839137,The Twilight Saga: New Moon,296623634,11/20/09 0:00,130,50000000,,
David Yates,PG-13,125017372,Harry Potter and the Deathly Hallows Part 1,295983305,11/19/10 0:00,150,,,
M. Night Shyamalan,PG-13,26681262,The Sixth Sense,293506292,8/6/99 0:00,107,40000000,,
Pete DocterBob Peterson,PG,68108790,Up,293004164,5/29/09 0:00,96,175000000,,
Christopher Nolan,PG-13,62785337,Inception,292576195,7/16/10 0:00,148,160000000,,
Bill Condon,PG-13,141067634,The Twilight Saga: Breaking Dawn Part 2,292324737,11/16/12 0:00,116,120000000,,
David Yates,PG-13,77108414,Harry Potter and the Order of the Phoenix,292004738,7/11/07 0:00,139,150000000,,
Andrew Adamson,PG,65556312,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",291710957,12/9/05 0:00,132,180000000,,
Zack Snyder,PG-13,116619362,Man of Steel,291045518,6/14/13 0:00,143,225000000,,
Irvin Kershner,PG,10840307,The Empire Strikes Back,209398025,5/21/80 0:00,129,18000000,,
Mike Newell,PG-13,102685961,Harry Potter and the Goblet of Fire,290013036,11/18/05 0:00,153,150000000,,
Pete DocterDavid Silverman (co-director)Lee Unkrich,G,62577067,"Monsters, Inc.",255873250,11/2/01 0:00,90,115000000,,
Chris Columbus,PG,17081997,Home Alone,285761243,11/16/90 0:00,105,18000000,,
Andy & Lana Wachowski,R,91774413,The Matrix Reloaded,281576461,5/15/03 0:00,138,150000000,,
Bill Condon,PG-13,138122261,The Twilight Saga: Breaking Dawn Part 1,281287133,11/18/11 0:00,108,110000000,,
Jay Roach,PG-13,46120980,Meet the Fockers,279261160,12/22/04 0:00,114,80000000,,
Todd Phillips,R,44979319,The Hangover,277322503,6/5/09 0:00,96,35000000,,
Alfonso Cuaron,PG-13,55785112,Gravity,274092705,10/4/13 0:00,91,100000000,,
Dan Scanlon,G,82429469,Monsters University,268492764,6/21/13 0:00,107,,,
Andrew Adamson,PG,42347760,Shrek,267665011,5/16/01 0:00,90,60000000,,
Marc Webb,PG-13,62004688,The Amazing Spider-Man,262030663,7/3/12 0:00,136,230000000,,
Chris Columbus,PG,88357488,Harry Potter and the Chamber of Secrets,261988482,11/15/02 0:00,161,100000000,,
Brad Bird,PG,70467623,The Incredibles,261441092,11/5/04 0:00,115,92000000,,
Ron Howard,PG,55082330,How the Grinch Stole Christmas,260044825,11/17/00 0:00,104,123000000,,
Steven Spielberg,PG,6150000,Jaws,260000000,6/20/75 0:00,125,7000000,,
Anthony RussoJoe Russo,PG-13,95023721,Captain America: The Winter Soldier,259766572,4/4/14 0:00,136,170000000,,
Peter Jackson,PG-13,73645197,The Hobbit: The Desolation of Smaug,258366855,12/13/13 0:00,161,,,
Phil LordChris Miller (II),PG,69050279,The LEGO Movie,257760692,2/7/14 0:00,100,60000000,,
J.J. Abrams,PG-13,75204289,Star Trek,257730019,5/8/09 0:00,126,150000000,,
Francis Lawrence,PG-13,77211321,I Am Legend,256393010,12/14/07 0:00,100,150000000,,
John Lee Hancock,PG-13,34119372,The Blind Side,255959475,11/20/09 0:00,126,29000000,,
Todd Phillips,R,85946294,The Hangover Part II,254464305,5/26/11 0:00,102,80000000,,
Pierre CoffinChris Renaud,PG,56397125,Despicable Me,251513985,7/9/10 0:00,95,69000000,,
Tim Burton,PG-13,40489746,Batman,251188924,6/23/89 0:00,126,35000000,,
Shawn Levy,PG,30433781,Night at the Museum,250863268,12/22/06 0:00,108,,,
Barry Sonnenfeld,PG-13,51068455,Men in Black,250690539,7/2/97 0:00,97,90000000,,
Alfonso Cuaron,PG,93687367,Harry Potter and the Prisoner of Azkaban,249541069,6/4/04 0:00,142,130000000,,
Steven Spielberg,PG,8305823,Raiders of the Lost Ark,212222025,6/12/81 0:00,115,18000000,,
John LasseterLee Unkrich,G,57388839,Toy Story 2,245852179,11/19/99 0:00,92,90000000,,
John Lasseter,G,60119509,Cars,244082982,6/9/06 0:00,116,120000000,,
Tom Shadyac,PG-13,67953330,Bruce Almighty,242829261,5/23/03 0:00,101,81000000,,
Ivan Reitman,PG,13578151,Ghostbusters,229242989,6/8/84 0:00,107,30000000,,
Jan DeBont,PG-13,41059405,Twister,241721524,5/10/96 0:00,113,92000000,,
,PG,3002241,My Big Fat Greek Wedding,241438208,4/19/02 0:00,95,5000000,,
Rob Marshall,PG-13,90151958,Pirates of the Caribbean: On Stranger Tides,241071802,5/20/11 0:00,137,250000000,,
Mike Mitchell,PG,70838207,Shrek Forever After,238736787,5/21/10 0:00,93,165000000,,
Justin Lin,PG-13,97375245,Fast & Furious 6,238679850,5/24/13 0:00,130,160000000,,
Mark AndrewsBrenda Chapman,PG,66323594,Brave,237283207,6/22/12 0:00,100,185000000,,
